idx,series,timepoint_hr,src,repair,dx,dy,ecc,q0x,q0y,q1x,q1y,q2x,q2y,q3x,q3y
182,PEG_L1,6.0,dots,kept,0.0,0.0,off,414.6879577636719,205.28195190429688,651.2155151367188,205.39495849609375,674.9506225585938,462.7283935546875,438.4230651855469,462.6153869628906
1,PEG_L2,0.0,dots,kept,0.0,0.0,off,443.5615539550781,184.1531524658203,702.6956787109375,179.8235321044922,696.897705078125,422.8352355957031,456.5191345214844,440.2170104980469
9,PEG_L2,0.0,dots,kept,0.0,0.0,ref,433.6436767578125,180.25286865234375,692.2178955078125,173.38531494140625,689.875,414.4084777832031,449.19256591796875,434.7263488769531
29,PEG_L2,0.5,dots,kept,0.0,0.0,off,433.9444580078125,181.63157653808594,693.0171508789062,178.2377471923828,686.41162109375,417.209716796875,443.7801818847656,435.6222839355469
43,PEG_L2,1.0,dots,kept,0.0,0.0,off,436.87261962890625,178.56051635742188,696.8294067382812,173.58004760742188,690.5304565429688,417.8387145996094,451.48248291015625,433.9143981933594
57,PEG_L2,1.5,dots,kept,0.0,0.0,off,429.7959899902344,175.5287322998047,689.4761962890625,171.87831115722656,682.1277465820312,414.8777160644531,444.3306579589844,432.5846862792969
71,PEG_L2,2.0,dots,repaired,0.0,0.0,off,431.2740478515625,193.16529846191406,690.9593505859375,184.27651977539062,685.483154296875,430.3403015136719,445.8463134765625,448.2813720703125
85,PEG_L2,2.5,dots,kept,0.0,0.0,off,442.6353759765625,192.57762145996094,703.7356567382812,180.33920288085938,697.26318359375,430.1804504394531,457.7959289550781,448.448974609375
99,PEG_L2,3.0,dots,kept,0.0,0.0,off,444.4718322753906,192.47183227539062,706.4459838867188,185.44947814941406,700.1554565429688,429.91192626953125,461.25,453.8229064941406
113,PEG_L2,3.5,dots,kept,0.0,0.0,off,449.08905029296875,192.5993194580078,711.6076049804688,186.36709594726562,704.6558837890625,435.2469787597656,462.862060546875,455.10345458984375
