idx,front_px,centroid_px,mass,n_px
126,209.0,138.1142486444118,8621.7861328125,436
127,209.0,193.94095840639565,13140.0458984375,436
128,198.0,178.70475075081174,6368.18896484375,436
129,148.0,220.17747599774867,8830.8125,436
130,175.0,186.40860042493603,8043.001953125,436
131,238.0,207.31298846948178,12341.96875,436
132,86.0,138.504120578748,8440.669921875,436
133,71.0,160.1624639837542,9621.05078125,436
134,124.0,171.41976589899681,10198.1689453125,436
135,372.0,173.67201832966643,9804.6171875,436
136,288.0,135.83298296694514,10855.9453125,436
137,286.0,133.57120001849108,11285.06640625,436
138,375.0,213.62130267334075,10427.3115234375,436
139,374.0,214.80809890679183,12476.470703125,436
140,256.0,201.65475837143902,9249.69140625,436
141,190.0,216.78453674700575,10815.658203125,436
142,180.0,184.93361882605583,7663.7578125,436
143,254.0,191.55835109424922,10954.375,436
144,101.0,106.50955742834367,6531.1982421875,436
145,388.0,188.12382261033056,16373.7451171875,436
146,371.0,173.5412726901204,12295.869140625,436
147,364.0,165.16369822816662,9332.4365234375,436
148,435.0,388.38290552187027,7069.6376953125,436
149,12.0,155.3195613141428,11671.13671875,436
150,20.0,131.67482439425538,10665.392578125,436
151,84.0,220.13798115502073,9498.884765625,436
152,23.0,130.80460099675625,13440.01953125,436
153,13.0,170.37175541878221,9504.751953125,436
154,196.0,172.0782685776259,11175.32421875,436
155,122.0,158.9960926228437,6819.4755859375,436
156,232.0,166.41177835314483,9864.939453125,436
157,23.0,118.84037902286784,12150.537109375,436
158,209.0,205.12351805295717,9784.6826171875,436
159,27.0,145.1953202651396,13403.51953125,436
160,214.0,161.38349444200674,8801.6689453125,436
161,117.0,219.079592607805,8045.25927734375,436
162,381.0,170.73078412041065,14763.6103515625,436
163,174.0,163.8216047296804,13037.427734375,436
164,17.0,65.98038752189562,8305.5078125,436
165,169.0,151.17381405254605,13286.900390625,436
166,77.0,153.0618285698997,8918.3896484375,436
167,21.0,133.21582063917293,14882.873046875,436
168,23.0,143.71234877351176,9638.939453125,436
169,23.0,132.06031064116803,10407.287109375,436
170,128.0,179.57385715972362,8085.27099609375,436
171,181.0,200.783898674807,9297.3310546875,436
172,28.0,136.71976353298294,12547.115234375,436
173,142.0,193.1450059272143,6837.27099609375,436
174,19.0,127.83634860672542,12673.189453125,436
175,54.0,84.01304541834328,16963.978515625,436
176,191.0,152.8140940598132,14615.30859375,436
177,185.0,152.21883754233411,15384.1845703125,436
178,12.0,102.09835873769947,7029.2607421875,436
179,19.0,133.36876184609216,15424.189453125,436
180,201.0,207.56941963593653,9087.056640625,436
181,127.0,194.35501853532526,7263.11376953125,436
182,130.0,174.83908902930858,8651.119140625,436
183,231.0,200.5799982239395,9580.0625,436
184,18.0,146.33934756867782,10660.412109375,436
185,161.0,189.89704304651752,7347.193359375,436
186,13.0,120.30270142518927,9800.64453125,436
187,179.0,155.98915417425835,13937.279296875,436
188,15.0,132.87217433803536,13658.5078125,436
189,13.0,134.55893326043233,14536.212890625,436
190,8.0,120.01000687885467,7870.87548828125,436
191,81.0,155.55527859754565,15135.12109375,436
192,19.0,153.0958891734039,10521.150390625,436
193,146.0,177.85313989676916,8010.3994140625,436
194,135.0,173.63186318499967,7166.67138671875,436
195,223.0,194.81011641257822,9935.1142578125,436
196,180.0,194.5861285033377,9639.4716796875,436
197,163.0,186.46008248482846,6767.89794921875,436
198,15.0,139.78812792896406,13680.513671875,436
199,56.0,91.54210364689797,18207.90234375,436
200,17.0,141.6641191514839,15613.72265625,436
201,172.0,145.9952626986827,15381.892578125,436
202,10.0,127.2195251054245,9571.609375,436
203,17.0,143.31989618772226,17506.103515625,436
204,20.0,157.63926962848296,11737.0068359375,436
205,145.0,174.09571007430824,7776.4443359375,436
206,139.0,182.45063264043102,9429.69921875,436
207,231.0,194.57591615834113,10894.6220703125,436
208,191.0,194.75641389981655,10576.908203125,436
