series,cond,coating,bsa,control,t,asym
PEG_non-BSA_control,PEG_non-BSA,PEG,non-BSA,True,1.5,-5.494905471801758
COOH_non-BSA_control,COOH_non-BSA,COOH,non-BSA,True,1.5,-22.284151077270508
PEG_BSA_r1,PEG_BSA,PEG,BSA,False,2.0,31.597585678100586
PEG_BSA_r2,PEG_BSA,PEG,BSA,False,2.0,25.224876403808594
PEG_BSA_r3,PEG_BSA,PEG,BSA,False,2.0,22.568103790283203
COOH_BSA_r1,COOH_BSA,COOH,BSA,False,2.0,20.567562103271484
COOH_BSA_r2,COOH_BSA,COOH,BSA,False,2.0,30.488994598388672
COOH_BSA_r3,COOH_BSA,COOH,BSA,False,2.0,26.443044662475586
PEG_non-BSA_r1,PEG_non-BSA,PEG,non-BSA,False,2.0,9.069486618041992
PEG_non-BSA_r2,PEG_non-BSA,PEG,non-BSA,False,2.0,8.059150695800781
PEG_non-BSA_r3,PEG_non-BSA,PEG,non-BSA,False,2.0,5.547842025756836
COOH_non-BSA_r1,COOH_non-BSA,COOH,non-BSA,False,2.0,6.552651405334473
COOH_non-BSA_r2,COOH_non-BSA,COOH,non-BSA,False,2.0,23.100404739379883
